id,E,N,lon,lat
540,619538.5741160159,722592.5018844116,-73.91881886,6.536075440000001
541,619618.7681321797,722592.6742172786,-73.91809362000001,6.536075440000001
542,619698.9621671424,722592.8466657734,-73.91736838,6.53607544
543,619779.1562209151,722593.0192298966,-73.91664314,6.536075440000001
544,619859.3502935134,722593.1919096479,-73.9159179,6.536075440000001
545,619939.5443849468,722593.3647050277,-73.91519266000002,6.536075440000001
546,620019.7384952324,722593.537616036,-73.91446742,6.536075440000001
547,620099.9326243772,722593.710642673,-73.91374218,6.536075440000001
548,620180.1267723964,722593.8837849386,-73.91301694,6.536075440000001
549,620260.3209393055,722594.0570428332,-73.9122917,6.53607544
550,620340.5151251117,722594.2304163572,-73.91156646,6.536075440000001
551,620420.7093298314,722594.4039055102,-73.91084122,6.536075440000001
552,620500.9035534748,722594.5775102924,-73.91011598,6.53607544
553,620581.0977960571,722594.7512307044,-73.90939074,6.53607544
554,620661.2920575896,722594.9250667458,-73.9086655,6.53607544
555,620741.4863380836,722595.0990184172,-73.90794026,6.53607544
556,620821.6806375557,722595.2730857184,-73.90721502,6.536075440000001
557,620901.8749560129,722595.4472686497,-73.90648978,6.53607544
558,620982.0692934708,722595.6215672112,-73.90576454,6.536075440000001
559,621062.2636499433,722595.795981403,-73.9050393,6.536075440000001
560,621142.4580254416,722595.9705112252,-73.90431406,6.536075440000001
561,621222.6524199784,722596.145156678,-73.90358882,6.536075440000001
562,621302.8468335648,722596.3199177618,-73.90286358,6.536075440000001
